"id","name","is_region_required","created_at","updated_at"
"1","إستلام مكتب","0","2025-10-06 15:15:28","2025-10-06 15:15:28"
"2","طرابلس","1","2025-10-06 15:15:28","2025-10-06 15:15:28"
"3","ضواحي طرابلس","1","2025-10-06 15:15:28","2025-10-06 15:15:28"
"4","بنغازي","1","2025-10-06 15:15:28","2025-10-06 15:15:28"
"5","ضواحي بنغازي","1","2025-10-06 15:15:28","2025-10-06 15:15:28"
"6","مصراتة","1","2025-10-06 15:15:28","2025-10-06 15:15:28"
"7","زليتن","0","2025-10-06 15:15:28","2025-10-06 15:15:28"
"8","زلطن","0","2025-10-06 15:15:28","2025-10-06 15:15:28"
"9","الخمس","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"10","الزاوية","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"11","صبراتة","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"12","صرمان","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"13","البيضاء","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"14","شحات","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"15","درنة","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"16","طبرق","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"17","سبها","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"18","غريان","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"19","يفرن","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"20","زوارة","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"21","غات","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"22","أوباري","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"23","مرزق","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"24","بني وليد","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"25","ترهونة","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"26","مسلاتة","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"27","الجميل","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"28","رقدالين","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"29","العجيلات","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"30","القلعة","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"31","مزدة","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"32","الرجبان","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"33","ككلة","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"34","تازربو","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"35","جالو","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"36","أجخرة","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"37","الكفرة","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"38","هون","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"39","ودان","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"40","سوكنة","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"41","براك الشاطئ","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"42","الزنتان","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"43","غدامس","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"44","أجدابيا","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"45","سرت","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"46","راس لانوف","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"47","البريقة","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"48","المرج","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"49","بن وليد","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"50","تاورغاء","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"51","بن جواد","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"52","قمينس","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"53","توكرة","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"54","سوسة","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"55","ورشفانة","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"56","رقحالين","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"57","الجفرة","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"58","زلة","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"59","اوباري","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"60","ام الارانب","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"61","تراغن","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"62","جادو","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"63","الرحيبات","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"64","الأصابعة","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"65","الجوش","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"66","الحرابة","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"67","الجبل الغربي","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"68","نالوت","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"69","القواليش","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"70","الرياينة","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"71","تيجي","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"72","بدر","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"73","وازن","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"74","الشويرف","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"75","اوجلا","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"76","المايه","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"77","القبة","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"78","وادي الربيع","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"79","القره بولي","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"80","تساوه","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"81","الابيار","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"82","قصر بن غشير","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"83","سلوف","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"84","برقة","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"85","السبيعة","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"86","قصر الخيار","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"87","الرجمة","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"88","سوق السبت","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"89","وادي عتبة","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"90","هرواة","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"91","ابو قرين","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"92","السايح","0","2025-10-06 15:15:29","2025-10-06 15:15:29"
"94","الشقيقة","0","2025-10-15 15:11:36","2025-10-15 15:11:36"
"95","القطرون","0","2025-10-15 16:26:55","2025-10-15 16:26:55"
"96","سيناون","0","2025-10-30 17:37:39","2025-10-30 17:37:39"
